
-------------------------------------------------------------------------------
./eos/eosSly,  MDIVxSDIV=65x129,  accuracy=1e-05
-------------------------------------------------------------------------------
   rho_c        M         M_0         R         Omega      Omega_p       T/W           C*J/GM_s^2      I        h_plus       h_minus       Z_p      Z_b        Z_f       omega_c/Omega   r_e     r_ratio     Omega_pa    Omega+    u_phi
2.17369e+15 2.01891e+00 2.37978e+00 1.05128e+01 0.00000e+00 1.51802e+00 0.00000e+00 0.00000e+00    ---     7.36203e+00 7.36203e+00 5.18992e-01 5.18992e-01 5.18992e-01 0.00000e+00 1.96965e-01 1.00000e+00 1.31505e+00 1.39677e+00 6.99398e+00
2.28692e+15 2.03001e+00 2.39654e+00 1.04149e+01 0.00000e+00 1.54367e+00 0.00000e+00 0.00000e+00    ---     7.55804e+00 7.55804e+00 5.34033e-01 5.34033e-01 5.34033e-01 0.00000e+00 1.93617e-01 1.00000e+00 1.32428e+00 1.42090e+00 7.03228e+00
2.40605e+15 2.03834e+00 2.40921e+00 1.03169e+01 0.00000e+00 1.56892e+00 0.00000e+00 0.00000e+00    ---     7.73010e+00 7.73010e+00 5.48399e-01 5.48399e-01 5.48399e-01 0.00000e+00 1.90395e-01 1.00000e+00 1.33344e+00 1.44494e+00 7.06117e+00
2.53138e+15 2.04436e+00 2.41842e+00 1.02195e+01 0.00000e+00 1.59371e+00 0.00000e+00 0.00000e+00    ---     7.87976e+00 7.87976e+00 5.62086e-01 5.62086e-01 5.62086e-01 0.00000e+00 1.87305e-01 1.00000e+00 1.34252e+00 1.46880e+00 7.08193e+00
2.66324e+15 2.04817e+00 2.42426e+00 1.01229e+01 0.00000e+00 1.61806e+00 0.00000e+00 0.00000e+00    ---     8.00950e+00 8.00950e+00 5.75068e-01 5.75068e-01 5.75068e-01 0.00000e+00 1.84342e-01 1.00000e+00 1.35161e+00 1.49241e+00 7.09494e+00
2.80197e+15 2.04952e+00 2.42628e+00 1.00266e+01 0.00000e+00 1.64199e+00 0.00000e+00 0.00000e+00    ---     8.11893e+00 8.11893e+00 5.87239e-01 5.87239e-01 5.87239e-01 0.00000e+00 1.81506e-01 1.00000e+00 1.36082e+00 1.51572e+00 7.09996e+00
2.94793e+15 2.04928e+00 2.42581e+00 9.93192e+00 0.00000e+00 1.66541e+00 0.00000e+00 0.00000e+00    ---     8.21180e+00 8.21180e+00 5.98707e-01 5.98707e-01 5.98707e-01 0.00000e+00 1.78797e-01 1.00000e+00 1.37002e+00 1.53866e+00 7.09908e+00
3.10149e+15 2.04737e+00 2.42267e+00 9.83863e+00 0.00000e+00 1.68835e+00 0.00000e+00 0.00000e+00    ---     8.28758e+00 8.28758e+00 6.09425e-01 6.09425e-01 6.09425e-01 0.00000e+00 1.76212e-01 1.00000e+00 1.37932e+00 1.56126e+00 7.09245e+00
3.26305e+15 2.04396e+00 2.41711e+00 9.74691e+00 0.00000e+00 1.71080e+00 0.00000e+00 0.00000e+00    ---     8.34866e+00 8.34866e+00 6.19392e-01 6.19392e-01 6.19392e-01 0.00000e+00 1.73747e-01 1.00000e+00 1.38871e+00 1.58342e+00 7.08060e+00
3.43303e+15 2.03916e+00 2.40926e+00 9.65685e+00 0.00000e+00 1.73274e+00 0.00000e+00 0.00000e+00    ---     8.39613e+00 8.39613e+00 6.28601e-01 6.28601e-01 6.28601e-01 0.00000e+00 1.71400e-01 1.00000e+00 1.39823e+00 1.60511e+00 7.06398e+00
3.61186e+15 2.03321e+00 2.39952e+00 9.56871e+00 0.00000e+00 1.75416e+00 0.00000e+00 0.00000e+00    ---     8.43142e+00 8.43142e+00 6.37077e-01 6.37077e-01 6.37077e-01 0.00000e+00 1.69167e-01 1.00000e+00 1.40783e+00 1.62629e+00 7.04324e+00
3.80000e+15 2.02626e+00 2.38806e+00 9.48256e+00 0.00000e+00 1.77505e+00 0.00000e+00 0.00000e+00    ---     8.45560e+00 8.45560e+00 6.44830e-01 6.44830e-01 6.44830e-01 0.00000e+00 1.67045e-01 1.00000e+00 1.41754e+00 1.64693e+00 7.01888e+00
